name,rate,rnk,median_earn
Andrews University,0.7153,408.0,53187.0
Martin Luther College,0.715,409.0,47491.0
Covenant College,0.7149,410.0,50412.0
Transylvania University,0.7148,411.0,54705.0
Reed College,0.7147,412.0,62927.0
SUNY College at Geneseo,0.7145,413.0,67316.0
Cabarrus College of Health Sciences,0.7143,416.0,58708.0
Southern California Institute of Architecture,0.7143,416.0,71909.0
St. John's College,0.7143,416.0,51584.0
DeVry University-New Jersey,0.7143,416.0,45987.0
Bais Medrash of Dexter Park,0.7143,416.0,
University of Kentucky,0.7142,419.0,59025.0
Bethel University,0.7138,420.0,63764.0
Sarah Lawrence College,0.7133,421.0,53603.0
Saint Norbert College,0.7129,422.0,58363.0
Willamette University,0.7124,423.0,56911.0
Bennington College,0.7121,424.0,38289.0
Luther College,0.7112,425.0,59850.0
West Virginia Junior College-Morgantown,0.7111,426.0,31912.0
Kansas State University,0.7108,427.0,57262.0
Beloit College,0.7105,428.5,53260.0
Appalachian Bible College,0.7105,428.5,37467.0
Immaculata University,0.7104,430.0,75701.0
Sullivan University,0.7099,431.0,38008.0
University of Wisconsin-La Crosse,0.7096,432.0,60378.0
Whitworth University,0.7089,433.0,58561.0
Kettering University,0.708,434.0,94823.0
Freed-Hardeman University,0.7078,435.5,47485.0
Northwest University,0.7078,435.5,54914.0
Northwest Nazarene University,0.7076,437.0,51719.0
Carroll University,0.707,438.0,58009.0
Agnes Scott College,0.7068,439.0,56274.0
Belmont University,0.7066,440.0,55930.0
College for Creative Studies,0.7061,441.0,44860.0
University of North Carolina Wilmington,0.7059,442.0,54967.0
Florida Southern College,0.7055,443.0,55294.0
The College of Saint Scholastica,0.7053,444.0,65934.0
University of Arkansas,0.7052,445.0,58191.0
West Chester University of Pennsylvania,0.7051,446.0,61258.0
Randolph-Macon College,0.7048,447.5,58448.0
Drew University,0.7048,447.5,63646.0
Linfield University,0.7046,449.0,78638.0
Valparaiso University,0.7037,450.0,63191.0
Westmont College,0.7035,451.0,64778.0
Saint Mary's College of California,0.703,452.0,78812.0
Uta Mesivta of Kiryas Joel,0.7019,453.0,31853.0
California State University-Fullerton,0.7018,454.0,62951.0
Dordt University,0.7014,455.0,52559.0
Oregon State University,0.7011,456.0,64010.0
Meredith College,0.7007,457.0,51539.0
University of San Francisco,0.7006,458.0,89812.0
Merrimack College,0.7005,459.0,75584.0
University of Maryland-Baltimore County,0.7001,460.0,69960.0
Yeshivath Zichron Moshe,0.7,462.0,
Bryan College of Health Sciences,0.7,462.0,70845.0
Elmhurst University,0.7,462.0,61462.0
Howard University,0.6996,464.0,63066.0
St. Mary's College of Maryland,0.6995,465.0,60110.0
Molloy University,0.6993,466.0,77789.0
Rochester Institute of Technology,0.6989,467.0,76571.0
Ramapo College of New Jersey,0.6981,468.0,67541.0
Mercer University,0.6962,469.0,58354.0
California Lutheran University,0.696,470.0,68712.0
Bethlehem College & Seminary,0.6957,471.0,
Washington & Jefferson College,0.6952,472.0,67918.0
Seton Hall University,0.6949,473.5,70196.0
Berry College,0.6949,473.5,53800.0
Towson University,0.6946,475.0,64390.0
Savannah College of Art and Design,0.6941,476.0,45954.0
The New School,0.6937,477.0,52901.0
Saint Mary's College,0.6933,478.0,59354.0
Yeshivath Viznitz,0.6932,479.0,
Carroll College,0.6929,480.0,61772.0
San Juan Bautista School of Medicine,0.6923,481.5,
New York School of Interior Design,0.6923,481.5,48041.0
San Jose State University,0.6922,483.0,78988.0
University of North Florida,0.6921,484.0,56343.0
University of the Pacific,0.6905,485.5,78445.0
The Modern College of Design,0.6905,485.5,42187.0
Earlham College,0.69,487.0,50797.0
University of North Carolina at Charlotte,0.6897,488.0,57289.0
California State University-Long Beach,0.6888,489.0,64403.0
Massachusetts College of Art and Design,0.6887,490.0,43582.0
SUNY Oneonta,0.6881,492.0,60386.0
Louisiana State University and Agricultural & Mechanical College,0.6881,492.0,61251.0
University of Kansas,0.6881,492.0,61945.0
Harding University,0.6879,494.0,52876.0
St. Joseph's University-New York,0.6878,495.0,63905.0
Grace College and Theological Seminary,0.6877,496.5,45411.0
University of St Thomas,0.6877,496.5,59224.0
Saint Joseph's University - Lancaster,0.6875,498.0,86881.0
University of California-Merced,0.6872,499.0,64368.0
Texas Tech University,0.6869,500.0,62454.0
Xavier University,0.6865,501.5,64873.0
Roger Williams University,0.6865,501.5,70266.0
Saint Vincent College,0.6859,503.0,59982.0
Thomas Jefferson University,0.6857,504.5,77449.0
Pacific Lutheran University,0.6857,504.5,66990.0
Gordon College,0.6854,507.0,52119.0
Stockton University,0.6854,507.0,57602.0
Hofstra University,0.6854,507.0,69039.0
Truman State University,0.6853,509.0,56280.0
Pennsylvania College of Art and Design,0.6852,510.0,33301.0
Stevenson University,0.6849,511.0,62079.0
California State Polytechnic University-Pomona,0.6843,512.0,71902.0
PCI College,0.6842,513.0,36141.0
Viterbo University,0.6838,514.0,55660.0
Concordia University-Wisconsin,0.6835,515.5,56075.0
University of New England,0.6835,515.5,55921.0
Widener University,0.6832,517.0,70920.0
College of the Atlantic,0.6829,518.0,40264.0
Simon's Rock at Bard College,0.6828,519.0,46543.0
Wentworth Institute of Technology,0.6824,520.0,82721.0
Oklahoma State University-Main Campus,0.6817,521.0,57413.0
Salisbury University,0.6815,522.0,61515.0
University of Northwestern-St Paul,0.6813,523.0,50755.0
Mount Vernon Nazarene University,0.6811,524.0,49555.0
College of Our Lady of the Elms,0.6809,525.0,51540.0
Michigan Technological University,0.6806,526.0,78198.0
Arizona State University Campus Immersion,0.6804,527.0,62668.0
State University of New York at Cortland,0.6803,528.0,60236.0
University of Puget Sound,0.6799,529.0,69594.0
University of Northern Iowa,0.6792,530.0,55177.0
Otterbein University,0.6788,531.0,53313.0
George Mason University,0.6784,532.0,76343.0
DePaul University,0.678,533.0,68751.0
Embry-Riddle Aeronautical University-Prescott,0.6776,534.0,84131.0
Bryn Athyn College of the New Church,0.6774,535.0,40457.0
The Master's University and Seminary,0.6773,536.5,57106.0
Knox College,0.6773,536.5,54820.0
New York Film Academy,0.677,538.0,29633.0
William Jewell College,0.6766,539.0,59268.0
Plaza College,0.6762,540.0,31519.0
Loras College,0.676,541.5,58289.0
Biola University,0.676,541.5,56778.0
Bard College,0.6756,543.0,46543.0
Albany College of Pharmacy and Health Sciences,0.6754,544.0,131426.0
Faith Baptist Bible College and Theological Seminary,0.6753,545.0,40650.0
University of Arizona,0.6752,546.0,59979.0
Emmanuel College,0.6751,547.0,68245.0
D'Youville  University,0.6749,548.0,66942.0
Roanoke College,0.6736,550.0,58047.0
Seton Hill University,0.6736,550.0,51748.0
Rowan University,0.6736,550.0,59988.0
Berklee College of Music,0.6731,552.0,33647.0
University of Redlands,0.6727,553.0,72690.0
Marian University,0.6722,554.0,58759.0
University of Detroit Mercy,0.672,555.0,71030.0
Adelphi University,0.6715,556.0,75482.0
Hanover College,0.6713,557.0,53957.0
Lionel University,0.6712,558.0,
Milwaukee School of Engineering,0.6711,559.0,89070.0
Austin College,0.6705,560.0,61296.0
Albizu University-San Juan,0.6703,561.0,41544.0
Grand Valley State University,0.6701,562.0,56118.0
Eastern Mennonite University,0.67,563.0,54869.0
School of the Art Institute of Chicago,0.6699,564.0,40151.0
Pacific University,0.6698,565.0,60583.0
University of Nebraska-Lincoln,0.6697,566.0,56887.0
Milwaukee Institute of Art & Design,0.6695,567.0,41174.0
University of St Francis,0.6682,568.5,63926.0
Shenandoah University,0.6682,568.5,58433.0
Baldwin Wallace University,0.6677,570.0,54122.0
Arcadia University,0.6674,571.0,58336.0
St Bonaventure University,0.6673,572.0,57214.0
Indiana Wesleyan University-Marion,0.6671,573.0,59986.0
DeVry University-Arizona,0.6667,584.5,45987.0
Hult International Business School,0.6667,584.5,
VanderCook College of Music,0.6667,584.5,47863.0
Williamson Christian College,0.6667,584.5,37474.0
Roberts Wesleyan University,0.6667,584.5,55031.0
Heritage Christian University,0.6667,584.5,42597.0
Washington University of Science and Technology,0.6667,584.5,
Sacred Heart Major Seminary,0.6667,584.5,49295.0
Maine College of Health Professions,0.6667,584.5,79840.0
Rutgers University-Camden,0.6667,584.5,74479.0
New College of Florida,0.6667,584.5,48082.0
Puerto Rico Conservatory of Music,0.6667,584.5,19474.0
California Institute of the Arts,0.6667,584.5,41198.0
Lancaster Bible College,0.6667,584.5,44096.0
Elim Bible College,0.6667,584.5,
Pacific Islands University,0.6667,584.5,20902.0
Yeshiva Gedolah Zichron Leyma,0.6667,584.5,
Charter Oak State College,0.6667,584.5,64209.0
ATA Career Education,0.6667,584.5,34577.0
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,0.6667,584.5,
Ursuline College,0.6667,584.5,56878.0
Mississippi State University,0.6667,584.5,51513.0
Fairleigh Dickinson University-Florham Campus,0.6662,596.0,57273.0
Lewis University,0.6661,597.0,66099.0
University of Mary,0.666,598.0,60909.0
Embry-Riddle Aeronautical University-Daytona Beach,0.6655,599.0,84131.0
Colorado State University-Fort Collins,0.6651,600.0,60543.0
Valley College-Martinsburg,0.6643,601.0,24900.0
University of Mary Washington,0.6641,602.0,60613.0
Canisius University,0.6639,603.0,60681.0
Gannon University,0.6636,604.0,58845.0
North Central University,0.6634,605.0,45064.0
Hallmark University,0.6633,606.0,40183.0
SUNY College of Environmental Science and Forestry,0.6632,607.0,55763.0
