name,median_earn,rnk
University of Maryland Eastern Shore,47697,1225
Morgan State University,50698,1051
Mount St. Mary's University,64072,378
Ner Israel Rabbinical College,66330,326
Notre Dame of Maryland University,65344,351
Salisbury University,61515,487
St. Mary's College of Maryland,60110,545
St. John's College,51584,1013
Towson University,64390,370
Stevenson University,62079,471
Washington College,65518,348
McDaniel College,60663,520
American International College,53124,918
Amherst College,77644,154
Anna Maria College,46651,1286
Assumption University,74895,187
Babson College,123938,9
Boston Baptist College,34159,1933
Bay Path University,55383,781
Bentley University,120959,10
Berklee College of Music,33647,1939
Boston Architectural College,62123,465
Boston College,103937,20
Boston University,83238,105
Brandeis University,77231,160
Bridgewater State University,57466,669
Cambridge College,45998,1321
Laboure College of Healthcare,62200,461
Clark University,62381,454
Curry College,54400,838
Dean College,38109,1784
Emerson College,62832,440
Emmanuel College,68245,290
Endicott College,58336,627
Fisher College,49669,1100
Fitchburg State University,53874,870
Framingham State University,52349,954
Benjamin Franklin Cummings Institute of Technology,57556,664
Gordon College,52119,970
Hampshire College,46938,1268
Harvard University,101817,30
Hellenic College-Holy Cross Greek Orthodox School of Theology,51724,1001
College of the Holy Cross,90543,70
Lasell University,49705,1097
Lesley University,51173,1028
Longy School of Music of Bard College,46543,1295
University of Massachusetts-Lowell,64874,362
University of Massachusetts-Amherst,71631,232
University of Massachusetts-Boston,65865,339
Massachusetts College of Pharmacy and Health Sciences,125557,7
Massachusetts College of Art and Design,43582,1466
Massachusetts Institute of Technology,143372,1
Massachusetts Maritime Academy,82392,118
Merrimack College,75584,175
Montserrat College of Art,33022,1949
Mount Holyoke College,58418,621
The New England Conservatory of Music,34483,1917
Nichols College,58063,644
Massachusetts College of Liberal Arts,48102,1196
Northeastern University,92538,48
College of Our Lady of the Elms,51540,1015
Quincy College,52506,949
Regis College,52873,931
Salem State University,56662,712
Simmons University,63494,397
Simon's Rock at Bard College,46543,1295
Smith College,64027,379
Springfield College,48036,1204
University of Massachusetts-Dartmouth,68804,279
Stonehill College,77745,153
